Description/notes,From,To,Mode,Time,Service,Optimize,Max dist,Arrive by,Depart by,Expected output,Expected number of legs,Expected trip duration,Expected trip distance,Passes?
"Test: OMSI to good samaritan","Oregon_Museum_of_Science_and_Industry::45.508327,-122.665010","Legacy_Good_Samaritan::45.530296,-122.697530","TRAM,RAIL,SUBWAY,FUNICULAR,GONDOLA,WALK",11:00 AM,Weekday,QUICK,840,,,Streetcar.*id.13709.*id.10778,,,,
Tests SW Lowell & Bond (12881) departure to Central Library,"45.493741,-122.670953","45.518987,-122.682664","TRAM,RAIL,SUBWAY,FUNICULAR,GONDOLA,WALK",9:11 AM,,QUICK,840,,,12881.*Streetcar,,,,NO... why?
Tests SW Bond & Lane (12882) departure to Central Library,"45.494993,-122.671172","45.518987,-122.682664","TRAM,RAIL,SUBWAY,FUNICULAR,GONDOLA,WALK",9:11 AM,,QUICK,160,,,12882.*Streetcar,,,,NO... why?
Tests OHSU Commons (12883) departure to Central Library,"45.498554,-122.670648","45.518987,-122.682664","TRAM,RAIL,SUBWAY,FUNICULAR,GONDOLA,WALK",9:11 AM,,QUICK,840,,,12883.*Streetcar,,,,
Tests SW River Parkway & Moody (12379) departure to Central Library,"45.506765,-122.672577","45.518987,-122.682664","TRAM,RAIL,SUBWAY,FUNICULAR,GONDOLA,WALK",9:11 AM,,QUICK,840,,,12379.*Streetcar,,,,
Tests SW Harrison Street (12380) departure to Central Library,"45.508118,-122.676523","45.518987,-122.682664","TRAM,RAIL,SUBWAY,FUNICULAR,GONDOLA,WALK",9:11 AM,,QUICK,840,,,12380.*Streetcar,,,,
Tests SW 3rd & Harrison (12382) departure to Central Library,"45.510482,-122.679796","45.518987,-122.682664","TRAM,RAIL,SUBWAY,FUNICULAR,GONDOLA,WALK",9:11 AM,,QUICK,840,,,12382.*Streetcar,,,,
Tests PSU Urban Center (10764) departure to Central Library,"45.511689,-122.682084","45.518987,-122.682664","TRAM,RAIL,SUBWAY,FUNICULAR,GONDOLA,WALK",9:11 AM,,QUICK,840,,,10764.*Streetcar,,,,
Tests SW Park & Mill (10766) departure to Central Library,"45.513375,-122.684597","45.518987,-122.682664","TRAM,RAIL,SUBWAY,FUNICULAR,GONDOLA,WALK",9:11 AM,,QUICK,420,,,Streetcar.*10766,,,,
Tests SW 10th & Clay (10765) departure to Central Library,"45.514632,-122.684830","45.518987,-122.682664","TRAM,RAIL,SUBWAY,FUNICULAR,GONDOLA,WALK",9:11 AM,,QUICK,160,,,10765.*Streetcar,,,,
Tests Art Museum (6493) departure to NW 23rd & Marshall,"45.515979,-122.684148","45.530507,-122.698960","TRAM,RAIL,SUBWAY,FUNICULAR,GONDOLA,WALK",9:11 AM,,QUICK,840,,,6493.*Streetcar,,,,"Was walking, changed coords"
Tests SW 10th & Alder (10768) arrival from OHSU Commons,"45.498554,-122.670648","45.520633,-122.681577","TRAM,RAIL,SUBWAY,FUNICULAR,GONDOLA,WALK",9:11 AM,,QUICK,840,,,Streetcar.*10768,,,,"Was walking, changed coords"
Tests NW 10th & Couch (10770) arrival from Central Library,"45.518987,-122.682664","45.523696,-122.680976","TRAM,RAIL,SUBWAY,FUNICULAR,GONDOLA,WALK",9:11 AM,,QUICK,420,,,Streetcar.*10770,,,,
Tests NW 10th & Glisan (10772) arrival from Central Library,"45.518987,-122.682664","45.526543,-122.681044","TRAM,RAIL,SUBWAY,FUNICULAR,GONDOLA,WALK",9:11 AM,,QUICK,840,,,Streetcar.*10772,,,,
Tests NW 10th & Johnson (10773) arrival from Central Library,"45.518987,-122.682664","45.528677,-122.681444","TRAM,RAIL,SUBWAY,FUNICULAR,GONDOLA,WALK",9:11 AM,,QUICK,840,,,Streetcar.*10773,,,,
Tests NW 10th & Northrup (13604) arrival from Central Library,"45.518987,-122.682664","45.531657,-122.681425","TRAM,RAIL,SUBWAY,FUNICULAR,GONDOLA,WALK",9:11 AM,,QUICK,840,,,Streetcar.*13604,,,,
Tests NW 12th & Northrup (12796) arrival from Central Library,"45.518987,-122.682664","45.531620,-122.683451","TRAM,RAIL,SUBWAY,FUNICULAR,GONDOLA,WALK",9:11 AM,,QUICK,840,,,Streetcar.*12796,,,,
Tests NW Northrup & 14th (10775) arrival from Central Library,"45.518987,-122.682664","45.531320,-122.685502","TRAM,RAIL,SUBWAY,FUNICULAR,GONDOLA,WALK",9:11 AM,,QUICK,840,,,Streetcar.*10775,,,,
Tests NW Northrup & 18th (10776) arrival from Central Library,"45.518987,-122.682664","45.531576,-122.689576","TRAM,RAIL,SUBWAY,FUNICULAR,GONDOLA,WALK",9:11 AM,,QUICK,840,,,Streetcar.*10776,,,,
Tests NW Northrup & 21st (10777) arrival from Central Library,"45.518987,-122.682664","45.531051,-122.694638","TRAM,RAIL,SUBWAY,FUNICULAR,GONDOLA,WALK",9:11 AM,,QUICK,840,,,Streetcar.*10777,,,,
Tests NW Northrup & 22nd (10778) arrival from Central Library,"45.518987,-122.682664","45.531526,-122.696653","TRAM,RAIL,SUBWAY,FUNICULAR,GONDOLA,WALK",9:11 AM,,QUICK,840,,,Streetcar.*10778,,,,
Tests NW 23rd & Marshall (8989) arrival from Central Library,"45.518987,-122.682664","45.530507,-122.698960","TRAM,RAIL,SUBWAY,FUNICULAR,GONDOLA,WALK",9:11 AM,,QUICK,840,,,Streetcar.*8989,,,,
Tests NW 23rd & Marshall (8989) departure to Central Library,"45.530507,-122.698960","45.518823,-122.683368","TRAM,RAIL,SUBWAY,FUNICULAR,GONDOLA,WALK",9:11 AM,,QUICK,840,,,"8989.*Streetcar",,,,
Tests NW Lovejoy & 22nd (3596) departure to Central Library,"45.529559,-122.696579","45.518823,-122.683368","TRAM,RAIL,SUBWAY,FUNICULAR,GONDOLA,WALK",9:11 AM,,QUICK,840,,,"3596.*Streetcar",,,,
Tests NW Lovejoy & 21st (3595) departure to Central Library,"45.530074,-122.694570","45.518823,-122.683368","TRAM,RAIL,SUBWAY,FUNICULAR,GONDOLA,WALK",9:11 AM,,QUICK,840,,,"3595.*Streetcar",,,,
Tests NW Lovejoy & 18th (10751) departure to Central Library,"45.529683,-122.689493","45.518823,-122.683368","TRAM,RAIL,SUBWAY,FUNICULAR,GONDOLA,WALK",9:11 AM,,QUICK,840,,,"10751.*Streetcar",,,,
Tests NW Lovejoy & 13th (10752) departure to Central Library,"45.530239,-122.684429","45.518823,-122.683368","TRAM,RAIL,SUBWAY,FUNICULAR,GONDOLA,WALK",9:11 AM,,QUICK,840,,,"10752.*Streetcar",,,,
Tests NW 11th & Johnson (10753) departure to Central Library,"45.528653,-122.682676","45.518823,-122.683368","TRAM,RAIL,SUBWAY,FUNICULAR,GONDOLA,WALK",9:11 AM,,QUICK,420,,,"10753.*Streetcar",,,,
Tests NW 11th & Glisan (10754) departure to Central Library,"45.526529,-122.682045","45.518823,-122.683368","TRAM,RAIL,SUBWAY,FUNICULAR,GONDOLA,WALK",9:11 AM,,QUICK,420,,,"10754.*Streetcar",,,,
Tests NW 11th & Couch (10756) departure to Central Library,"45.523676,-122.682002","45.518823,-122.683368","TRAM,RAIL,SUBWAY,FUNICULAR,GONDOLA,WALK",9:11 AM,,QUICK,420,,,Streetcar.*10756,,,,
Tests SW 11th & Alder (9600) departure to OHSU Commons,"45.521039,-122.683098","45.498554,-122.670648","TRAM,RAIL,SUBWAY,FUNICULAR,GONDOLA,WALK",9:11 AM,,QUICK,420,,,9600.*Streetcar,,,,
"TODO - the original test doesn't work anymore in OTP v1.0 ... with a short walk distance, OTP should show a trip on SC that goes around the EOL Streetcar turnaround loop, with just a short walk leg from OHSU Commons stop 12883...had to move the original end point (45.49855,-122.67065)","45.521039,-122.683098","45.49868,-122.67074","TRAM,RAIL,SUBWAY,FUNICULAR,GONDOLA,WALK",9:11 AM,,QUICK,160,,,9600.*Streetcar,,,,
Tests SW 11th & Jefferson (10759) arrival from NW 23rd & Marshall,"45.530507,-122.698960","45.516232,-122.685099","TRAM,RAIL,SUBWAY,FUNICULAR,GONDOLA,WALK",9:11 AM,,QUICK,840,,,Streetcar.*10759,,,,
Tests SW 11th & Clay (10760) arrival from Central Library,"45.519054,-122.684220","45.515046,-122.686384","TRAM,RAIL,SUBWAY,FUNICULAR,GONDOLA,WALK",9:11 AM,,QUICK,420,,,Streetcar.*10760,,,,
Tests SW Park & Market (11011) arrival from Central Library,"45.519054,-122.684220","45.513864,-122.683691","TRAM,RAIL,SUBWAY,FUNICULAR,GONDOLA,WALK",9:11 AM,,QUICK,420,,,Streetcar.*11011,,,,
Tests SW 5th & Market (10762) arrival from Central Library,"45.519054,-122.684220","45.512749,-122.680635","TRAM,RAIL,SUBWAY,FUNICULAR,GONDOLA,WALK",9:11 AM,,QUICK,840,,,Streetcar.*10762,,,,
Tests SW 5th & Montgomery (10763) arrival from Central Library,"45.519054,-122.684220","45.511380,-122.681185","TRAM,RAIL,SUBWAY,FUNICULAR,GONDOLA,WALK",9:11 AM,,QUICK,840,,,Streetcar.*10763,,,,
Tests SW 3rd & Harrison (12375) arrival from Central Library,"45.519054,-122.684220","45.510104,-122.679999","TRAM,RAIL,SUBWAY,FUNICULAR,GONDOLA,WALK",9:11 AM,,QUICK,840,,,Streetcar.*12375,,,,
Tests SW Harrison Street (12377) arrival from Central Library,"45.519054,-122.684220","45.507194,-122.676496","TRAM,RAIL,SUBWAY,FUNICULAR,GONDOLA,WALK",9:11 AM,,QUICK,840,,,Streetcar.*12377,,,,
Tests SW River Parkway & Moody (12378) arrival from Central Library,"45.519054,-122.684220","45.507387,-122.673100","TRAM,RAIL,SUBWAY,FUNICULAR,GONDOLA,WALK",9:11 AM,,QUICK,840,,,Streetcar.*12378,,,,
Tests SW Moody & Gibbs (12760) arrival from Central Library,"45.519054,-122.684220","45.499148,-122.671447","TRAM,RAIL,SUBWAY,FUNICULAR,GONDOLA,WALK",9:11 AM,,QUICK,840,,,Streetcar.*12760,,,,
Tests SW Moody & Gaines (12880) arrival from Central Library,"45.519054,-122.684220","45.496445,-122.672349","TRAM,RAIL,SUBWAY,FUNICULAR,GONDOLA,WALK",9:11 AM,,QUICK,840,,,Streetcar.*12880,,,,
Tests SW Lowell & Bond (12881) arrival from Central Library,"45.519054,-122.684220","45.493741,-122.670953","TRAM,RAIL,SUBWAY,FUNICULAR,GONDOLA,WALK",9:11 AM,,QUICK,840,,,Streetcar.*12881,,,,
