Description/notes,From,To,Mode,Time,Service,Optimize,Max dist,Arrive by,Depart by,Expected output,Expected number of legs,Expected trip duration,Expected trip distance,Passes?
Tests Old Town/Chinatown MAX Station (8339) arrival from Pioneer Courthouse Square,"45.518875,-122.679290","45.524587,-122.671103","TRAM,RAIL,SUBWAY,FUNICULAR,GONDOLA,WALK",9:11 AM,,QUICK,840,,,MAX.*8339,,,,
Tests Rose Quarter TC MAX Station (8340) arrival from Pioneer Courthouse Square,"45.518875,-122.679290","45.530007,-122.664562","TRAM,RAIL,SUBWAY,FUNICULAR,GONDOLA,WALK",9:11 AM,,QUICK,840,,,MAX.*8340,,,,
Tests Convention Center MAX Station (8341) arrival from Pioneer Courthouse Square,"45.518875,-122.679290","45.529895,-122.661911","TRAM,RAIL,SUBWAY,FUNICULAR,GONDOLA,WALK",9:11 AM,,QUICK,840,,,MAX.*8341,,,,
Tests NE 7th Ave MAX Station (8342) arrival from Pioneer Courthouse Square,"45.518875,-122.679290","45.530248,-122.658633","TRAM,RAIL,SUBWAY,FUNICULAR,GONDOLA,WALK",9:11 AM,,QUICK,840,,,MAX.*8342,,,,
Tests Lloyd Center/NE 11th Ave MAX Station (8343) arrival from Pioneer Courthouse Square,"45.518875,-122.679290","45.530214,-122.652561","TRAM,RAIL,SUBWAY,FUNICULAR,GONDOLA,WALK",9:11 AM,,QUICK,840,,,MAX.*8343,,,,
Tests Hollywood/NE 42nd Ave TC MAX Station (8344) arrival from Pioneer Courthouse Square,"45.518875,-122.679290","45.534088,-122.620313","TRAM,RAIL,SUBWAY,FUNICULAR,GONDOLA,WALK",9:11 AM,,QUICK,840,,,MAX.*8344,,,,
Tests NE 60th Ave MAX Station (8345) arrival from Pioneer Courthouse Square,"45.518875,-122.679290","45.528315,-122.601717","TRAM,RAIL,SUBWAY,FUNICULAR,GONDOLA,WALK",9:11 AM,,QUICK,840,,,MAX.*8345,,,,
Tests NE 82nd Ave MAX Station (8346) arrival from Pioneer Courthouse Square,"45.518875,-122.679290","45.532427,-122.578266","TRAM,RAIL,SUBWAY,FUNICULAR,GONDOLA,WALK",9:11 AM,,QUICK,840,,,MAX.*8346,,,,
Tests Gateway/NE 99th Ave TC MAX Station (8347) arrival from Pioneer Courthouse Square,"45.518875,-122.679290","45.530400,-122.562152","TRAM,RAIL,SUBWAY,FUNICULAR,GONDOLA,WALK",9:11 AM,,QUICK,840,,,MAX.*8347,,,,
Tests E 102nd Ave MAX Station (8348) arrival from Pioneer Courthouse Square,"45.518875,-122.679290","45.522316,-122.558301","TRAM,RAIL,SUBWAY,FUNICULAR,GONDOLA,WALK",9:11 AM,,QUICK,840,,,MAX.*8348,,,,
Tests E 122nd Ave MAX Station (8349) arrival from Pioneer Courthouse Square,"45.518875,-122.679290","45.522391,-122.536390","TRAM,RAIL,SUBWAY,FUNICULAR,GONDOLA,WALK",9:11 AM,,QUICK,840,,,MAX.*8349,,,,
Tests E 148th Ave MAX Station (8350) arrival from Pioneer Courthouse Square,"45.518875,-122.679290","45.522195,-122.509436","TRAM,RAIL,SUBWAY,FUNICULAR,GONDOLA,WALK",9:11 AM,,QUICK,840,,,MAX.*8350,,,,
Tests E 162nd Ave MAX Station (8351) arrival from Pioneer Courthouse Square,"45.518875,-122.679290","45.522071,-122.495095","TRAM,RAIL,SUBWAY,FUNICULAR,GONDOLA,WALK",9:11 AM,,QUICK,840,,,MAX.*8351,,,,
Tests E 172nd Ave MAX Station (8352) arrival from Pioneer Courthouse Square,"45.518875,-122.679290","45.521988,-122.484878","TRAM,RAIL,SUBWAY,FUNICULAR,GONDOLA,WALK",9:11 AM,,QUICK,840,,,MAX.*8352,,,,
Tests E 181st Ave MAX Station (8353) arrival from Pioneer Courthouse Square,"45.518875,-122.679290","45.521842,-122.475837","TRAM,RAIL,SUBWAY,FUNICULAR,GONDOLA,WALK",9:11 AM,,QUICK,840,,,MAX.*8353,,,,
Tests Rockwood/E 188th Ave MAX Station (8354) arrival from Pioneer Courthouse Square,"45.518875,-122.679290","45.519647,-122.468903","TRAM,RAIL,SUBWAY,FUNICULAR,GONDOLA,WALK",9:11 AM,,QUICK,840,,,MAX.*8354,,,,
Tests Ruby Junction/E 197th Ave MAX Station (8355) arrival from Pioneer Courthouse Square,"45.518875,-122.679290","45.515753,-122.460329","TRAM,RAIL,SUBWAY,FUNICULAR,GONDOLA,WALK",9:11 AM,,QUICK,840,,,MAX.*8355,,,,
Tests Civic Drive MAX Station (13450) arrival from Pioneer Courthouse Square,"45.518875,-122.679290","45.507438,-122.441081","TRAM,RAIL,SUBWAY,FUNICULAR,GONDOLA,WALK",9:11 AM,,QUICK,840,,,MAX.*13450,,,,
Tests Gresham City Hall MAX Station (8356) arrival from Pioneer Courthouse Square,"45.518875,-122.679290","45.505394,-122.435374","TRAM,RAIL,SUBWAY,FUNICULAR,GONDOLA,WALK",9:11 AM,,QUICK,840,,,MAX.*8356,,,,
Tests Gresham Central TC MAX Station (8357) arrival from Pioneer Courthouse Square,"45.518875,-122.679290","45.503268,-122.426232","TRAM,RAIL,SUBWAY,FUNICULAR,GONDOLA,WALK",9:11 AM,,QUICK,840,,,MAX.*8357,,,,
Tests Cleveland Ave MAX Station (8359) arrival from Pioneer Courthouse Square,"45.518875,-122.679290","45.503030,-122.419400","TRAM,RAIL,SUBWAY,FUNICULAR,GONDOLA,WALK",9:11 AM,,QUICK,840,,,MAX.*8359,,,,
#NAME?,,,,,,,,,,,,,,
Tests Cleveland Ave MAX Station (8359) departure to Pioneer Courthouse Square,"45.503030,-122.419400","45.518875,-122.679290","TRAM,RAIL,SUBWAY,FUNICULAR,GONDOLA,WALK",9:11 AM,,QUICK,840,,,8359.*MAX,,,,
Tests Gresham Central TC MAX Station (8360) departure to Pioneer Courthouse Square,"45.503308,-122.426233","45.518875,-122.679290","TRAM,RAIL,SUBWAY,FUNICULAR,GONDOLA,WALK",9:11 AM,,QUICK,840,,,8360.*MAX,,,,
Tests Gresham City Hall MAX Station (8361) departure to Pioneer Courthouse Square,"45.505963,-122.435358","45.518875,-122.679290","TRAM,RAIL,SUBWAY,FUNICULAR,GONDOLA,WALK",9:11 AM,,QUICK,840,,,8361.*MAX,,,,
Tests Civic Drive MAX Station (13449) departure to Pioneer Courthouse Square,"45.507409,-122.441065","45.518875,-122.679290","TRAM,RAIL,SUBWAY,FUNICULAR,GONDOLA,WALK",9:11 AM,,QUICK,840,,,13449.*MAX,,,,
Tests Ruby Junction/E 197th Ave MAX Station (8362) departure to Pioneer Courthouse Square,"45.517090,-122.460327","45.518875,-122.679290","TRAM,RAIL,SUBWAY,FUNICULAR,GONDOLA,WALK",9:11 AM,,QUICK,840,,,8362.*MAX,,,,
Tests Rockwood/E 188th Ave MAX Station (8363) departure to Pioneer Courthouse Square,"45.520704,-122.470117","45.518875,-122.679290","TRAM,RAIL,SUBWAY,FUNICULAR,GONDOLA,WALK",9:11 AM,,QUICK,840,,,8363.*MAX,,,,
Tests E 181st Ave MAX Station (8364) departure to Pioneer Courthouse Square,"45.522330,-122.478727","45.518875,-122.679290","TRAM,RAIL,SUBWAY,FUNICULAR,GONDOLA,WALK",9:11 AM,,QUICK,840,,,8364.*MAX,,,,
Tests E 172nd Ave MAX Station (8365) departure to Pioneer Courthouse Square,"45.522596,-122.486119","45.518875,-122.679290","TRAM,RAIL,SUBWAY,FUNICULAR,GONDOLA,WALK",9:11 AM,,QUICK,840,,,8365.*MAX,,,,
Tests E 162nd Ave MAX Station (8366) departure to Pioneer Courthouse Square,"45.522495,-122.496460","45.518875,-122.679290","TRAM,RAIL,SUBWAY,FUNICULAR,GONDOLA,WALK",9:11 AM,,QUICK,840,,,8366.*MAX,,,,
Tests E 148th Ave MAX Station (8367) departure to Pioneer Courthouse Square,"45.522689,-122.510640","45.518875,-122.679290","TRAM,RAIL,SUBWAY,FUNICULAR,GONDOLA,WALK",9:11 AM,,QUICK,840,,,8367.*MAX,,,,
Tests E 122nd Ave MAX Station (8368) departure to Pioneer Courthouse Square,"45.522986,-122.537752","45.518875,-122.679290","TRAM,RAIL,SUBWAY,FUNICULAR,GONDOLA,WALK",9:11 AM,,QUICK,840,,,8368.*MAX,,,,
Tests E 102nd Ave MAX Station (8369) departure to Pioneer Courthouse Square,"45.523010,-122.558279","45.518875,-122.679290","TRAM,RAIL,SUBWAY,FUNICULAR,GONDOLA,WALK",9:11 AM,,QUICK,840,,,8369.*MAX,,,,
Tests Gateway/NE 99th Ave TC MAX Station (8370) departure to Pioneer Courthouse Square,"45.530462,-122.562172","45.518875,-122.679290","TRAM,RAIL,SUBWAY,FUNICULAR,GONDOLA,WALK",9:11 AM,,QUICK,840,,,8370.*MAX,,,,
Tests NE 82nd Ave MAX Station (8371) departure to Pioneer Courthouse Square,"45.533907,-122.578476","45.518875,-122.679290","TRAM,RAIL,SUBWAY,FUNICULAR,GONDOLA,WALK",9:11 AM,,QUICK,840,,,8371.*MAX,,,,
Tests NE 60th Ave MAX Station (8372) departure to Pioneer Courthouse Square,"45.530318,-122.601893","45.518875,-122.679290","TRAM,RAIL,SUBWAY,FUNICULAR,GONDOLA,WALK",9:11 AM,,QUICK,840,,,8372.*MAX,,,,
Tests Hollywood/NE 42nd Ave TC MAX Station (8373) departure to Pioneer Courthouse Square,"45.532038,-122.620414","45.518875,-122.679290","TRAM,RAIL,SUBWAY,FUNICULAR,GONDOLA,WALK",9:11 AM,,QUICK,840,,,8373.*MAX,,,,
Tests Lloyd Center/NE 11th Ave MAX Station (8374) departure to Pioneer Courthouse Square,"45.530312,-122.654595","45.518875,-122.679290","TRAM,RAIL,SUBWAY,FUNICULAR,GONDOLA,WALK",9:11 AM,,QUICK,840,,,8374.*MAX,,,,
Tests NE 7th Ave MAX Station (8375) departure to Pioneer Courthouse Square,"45.530335,-122.658628","45.518875,-122.679290","TRAM,RAIL,SUBWAY,FUNICULAR,GONDOLA,WALK",9:11 AM,,QUICK,840,,,8375.*MAX,,,,
Tests Convention Center MAX Station (8376) departure to Pioneer Courthouse Square,"45.529990,-122.662833","45.518875,-122.679290","TRAM,RAIL,SUBWAY,FUNICULAR,GONDOLA,WALK",9:11 AM,,QUICK,840,,,8376.*MAX,,,,
Tests Rose Quarter TC MAX Station (8377) departure to Pioneer Courthouse Square,"45.530477,-122.664732","45.518875,-122.679290","TRAM,RAIL,SUBWAY,FUNICULAR,GONDOLA,WALK",9:11 AM,,QUICK,840,,,8377.*MAX,,,,
Tests Old Town/Chinatown MAX Station (8378) departure to Pioneer Courthouse Square,"45.524579,-122.671655","45.518875,-122.679290","TRAM,RAIL,SUBWAY,FUNICULAR,GONDOLA,WALK",9:11 AM,,QUICK,840,,,8378.*MAX,,,,
Tests Skidmore Fountain MAX Station (8379) departure to Pioneer Courthouse Square,"45.522525,-122.671780","45.518875,-122.679290","TRAM,RAIL,SUBWAY,FUNICULAR,GONDOLA,WALK",9:11 AM,,QUICK,840,,,8379.*MAX,,,,
Tests Oak/SW 1st Ave MAX Station (8380) departure to Pioneer Courthouse Square,"45.519661,-122.672354","45.518875,-122.679290","TRAM,RAIL,SUBWAY,FUNICULAR,GONDOLA,WALK",9:11 AM,,QUICK,420,,,8380.*MAX,,,,
Tests Morrison/SW 3rd Ave MAX Station (8381) departure to Hatfield Terminus,"45.518436,-122.675443","45.521918,-122.990675","TRAM,RAIL,SUBWAY,FUNICULAR,GONDOLA,WALK",9:11 AM,,QUICK,840,,,8381.*MAX,,,,"Was walking, changed coords"
Tests Galleria/SW 10th Ave MAX Station (8383) arrival from Cleveland Ave P&R,"45.502356,-122.417780","45.519864,-122.682197","TRAM,RAIL,SUBWAY,FUNICULAR,GONDOLA,WALK",9:11 AM,,QUICK,840,,,MAX.*8384,,,,"Was walking, changed coords"
Tests JELD-WEN Field MAX Station (9757) arrival from Pioneer Courthouse Square,"45.518875,-122.679290","45.522250,-122.690506","TRAM,RAIL,SUBWAY,FUNICULAR,GONDOLA,WALK",9:11 AM,,QUICK,840,,,MAX.*9757,,,,
Tests Kings Hill/SW Salmon St MAX Station (9820) arrival from Pioneer Courthouse Square,"45.518875,-122.679290","45.520075,-122.691732","TRAM,RAIL,SUBWAY,FUNICULAR,GONDOLA,WALK",9:11 AM,,QUICK,840,,,MAX.*9820,,,,
Tests Goose Hollow/SW Jefferson St MAX Station (10117) arrival from Pioneer Courthouse Square,"45.518875,-122.679290","45.518663,-122.694652","TRAM,RAIL,SUBWAY,FUNICULAR,GONDOLA,WALK",9:11 AM,,QUICK,840,,,MAX.*10117,,,,
Tests Washington Park MAX Station (10121) arrival from Pioneer Courthouse Square,"45.518875,-122.679290","45.510797,-122.717651","TRAM,RAIL,SUBWAY,FUNICULAR,GONDOLA,WALK",9:11 AM,,QUICK,840,,,MAX.*10121,,,,
Tests Beaverton TC MAX Station (9818) arrival from Pioneer Courthouse Square,"45.518875,-122.679290","45.490547,-122.802135","TRAM,RAIL,SUBWAY,FUNICULAR,GONDOLA,WALK",9:11 AM,,QUICK,840,,,MAX.*9818,,,,
Tests Beaverton Central MAX Station (9823) arrival from Pioneer Courthouse Square,"45.518875,-122.679290","45.490922,-122.807746","TRAM,RAIL,SUBWAY,FUNICULAR,GONDOLA,WALK",9:11 AM,,QUICK,840,,,MAX.*9823,,,,
Tests Millikan Way MAX Station (9825) arrival from Pioneer Courthouse Square,"45.518875,-122.679290","45.495309,-122.820620","TRAM,RAIL,SUBWAY,FUNICULAR,GONDOLA,WALK",9:11 AM,,QUICK,840,,,MAX.*9825,,,,
Tests Beaverton Creek MAX Station (9819) arrival from Pioneer Courthouse Square,"45.518875,-122.679290","45.499256,-122.833867","TRAM,RAIL,SUBWAY,FUNICULAR,GONDOLA,WALK",9:11 AM,,QUICK,840,,,MAX.*9819,,,,
Tests Merlo Rd/SW 158th Ave MAX Station (9827) arrival from Pioneer Courthouse Square,"45.518875,-122.679290","45.505803,-122.841944","TRAM,RAIL,SUBWAY,FUNICULAR,GONDOLA,WALK",9:11 AM,,QUICK,840,,,MAX.*9827,,,,
Tests Elmonica/SW 170th Ave MAX Station (9829) arrival from Pioneer Courthouse Square,"45.518875,-122.679290","45.510861,-122.852009","TRAM,RAIL,SUBWAY,FUNICULAR,GONDOLA,WALK",9:11 AM,,QUICK,840,,,MAX.*9829,,,,
Tests Willow Creek/SW 185th Ave TC MAX Station (9832) arrival from Pioneer Courthouse Square,"45.518875,-122.679290","45.518614,-122.870262","TRAM,RAIL,SUBWAY,FUNICULAR,GONDOLA,WALK",9:11 AM,,QUICK,840,,,MAX.*9832,,,,
Tests Quatama/NW 205th Ave MAX Station (9833) arrival from Pioneer Courthouse Square,"45.518875,-122.679290","45.523519,-122.887894","TRAM,RAIL,SUBWAY,FUNICULAR,GONDOLA,WALK",9:11 AM,,QUICK,840,,,MAX.*9833,,,,
Tests Orenco/NW 231st Ave MAX Station (9836) arrival from Pioneer Courthouse Square,"45.518875,-122.679290","45.530702,-122.914701","TRAM,RAIL,SUBWAY,FUNICULAR,GONDOLA,WALK",9:11 AM,,QUICK,840,,,MAX.*9836,,,,
Tests Hawthorn Farm MAX Station (9840) arrival from Pioneer Courthouse Square,"45.518875,-122.679290","45.530871,-122.931728","TRAM,RAIL,SUBWAY,FUNICULAR,GONDOLA,WALK",9:11 AM,,QUICK,840,,,MAX.*9840,,,,
Tests Fair Complex/Hillsboro Airport MAX Station (9837) arrival from Pioneer Courthouse Square,"45.518875,-122.679290","45.526122,-122.945543","TRAM,RAIL,SUBWAY,FUNICULAR,GONDOLA,WALK",9:11 AM,,QUICK,840,,,MAX.*9837,,,,
Tests Washington/SE 12th Ave MAX Station (9842) arrival from Pioneer Courthouse Square,"45.518875,-122.679290","45.520920,-122.970114","TRAM,RAIL,SUBWAY,FUNICULAR,GONDOLA,WALK",9:11 AM,,QUICK,840,,,MAX.*9842,,,,
Tests Tuality Hospital/SE 8th Ave MAX Station (9844) arrival from Pioneer Courthouse Square,"45.518875,-122.679290","45.521584,-122.978981","TRAM,RAIL,SUBWAY,FUNICULAR,GONDOLA,WALK",9:11 AM,,QUICK,840,,,MAX.*9844,,,,
Tests Hillsboro Central/SE 3rd TC MAX Station (9845) arrival from Pioneer Courthouse Square,"45.518875,-122.679290","45.521798,-122.986195","TRAM,RAIL,SUBWAY,FUNICULAR,GONDOLA,WALK",9:11 AM,,QUICK,840,,,MAX.*9845,,,,
Tests Hatfield Government Center MAX Station (9848) arrival from Pioneer Courthouse Square,"45.518875,-122.679290","45.522685,-122.991058","TRAM,RAIL,SUBWAY,FUNICULAR,GONDOLA,WALK",9:11 AM,,QUICK,840,,,MAX.*9848,,,,
#NAME?,,,,,,,,,,,,,,
Tests Parkrose/Sumner TC MAX Station (10572) arrival from Pioneer Courthouse Square,"45.518875,-122.679290","45.558525,-122.563479","TRAM,RAIL,SUBWAY,FUNICULAR,GONDOLA,WALK",9:11 AM,,QUICK,840,,,MAX.*10572,,,,
Tests Cascades MAX Station (10574) arrival from Pioneer Courthouse Square,"45.518875,-122.679290","45.571715,-122.555791","TRAM,RAIL,SUBWAY,FUNICULAR,GONDOLA,WALK",9:11 AM,,QUICK,840,,,MAX.*10574,,,,
Tests Mt Hood Ave MAX Station (10576) arrival from Pioneer Courthouse Square,"45.518875,-122.679290","45.576799,-122.567374","TRAM,RAIL,SUBWAY,FUNICULAR,GONDOLA,WALK",9:11 AM,,QUICK,840,,,MAX.*10576,,,,
Tests Portland Airport MAX Station (10579) arrival from Pioneer Courthouse Square,"45.518875,-122.679290","45.588431,-122.593278","TRAM,RAIL,SUBWAY,FUNICULAR,GONDOLA,WALK",9:11 AM,,QUICK,840,,,MAX.*10579,,,,
#NAME?,,,,,,,,,,,,,,
Tests Portland Airport MAX Station (10579) departure to Pioneer Courthouse Square,"45.588431,-122.593278","45.518875,-122.679290","TRAM,RAIL,SUBWAY,FUNICULAR,GONDOLA,WALK",9:11 AM,,QUICK,840,,,10579.*MAX,,,,
Tests Mt Hood Ave MAX Station (10577) departure to Pioneer Courthouse Square,"45.575906,-122.565921","45.518875,-122.679290","TRAM,RAIL,SUBWAY,FUNICULAR,GONDOLA,WALK",9:11 AM,,QUICK,840,,,10577.*MAX,,,,
Tests Cascades MAX Station (10575) departure to Pioneer Courthouse Square,"45.571710,-122.554582","45.518875,-122.679290","TRAM,RAIL,SUBWAY,FUNICULAR,GONDOLA,WALK",9:11 AM,,QUICK,840,,,10575.*MAX,,,,
Tests Parkrose/Sumner TC MAX Station (10573) departure to Pioneer Courthouse Square,"45.557841,-122.565262","45.518875,-122.679290","TRAM,RAIL,SUBWAY,FUNICULAR,GONDOLA,WALK",9:11 AM,,QUICK,840,,,10573.*MAX,,,,
#NAME?,,,,,,,,,,,,,,
Tests PSU/SW 6th & Montgomery MAX Station (7774) departure to Pioneer Courthouse Square,"45.511829,-122.682836","45.518875,-122.679290","TRAM,RAIL,SUBWAY,FUNICULAR,GONDOLA,WALK",9:11 AM,,QUICK,840,,,7774.*MAX,,,,
Tests SW 6th & Madison MAX Station (13123) departure to Expo Center,"45.515675,-122.680175","45.606842,-122.688194","TRAM,RAIL,SUBWAY,FUNICULAR,GONDOLA,WALK",9:11 AM,,QUICK,840,,,13123.*MAX,,,,"Was walking, changed coords"
Tests SW 6th & Pine St MAX Station (7787) arrival from PSU,"45.511691,-122.682076","45.522650,-122.676659","TRAM,RAIL,SUBWAY,FUNICULAR,GONDOLA,WALK",9:11 AM,,QUICK,840,,,MAX.*7787,,,,"Was walking, changed coords"
Tests NW 6th & Davis St MAX Station (9299) arrival from Pioneer Courthouse Square,"45.518875,-122.679290","45.524496,-122.676256","TRAM,RAIL,SUBWAY,FUNICULAR,GONDOLA,WALK",9:11 AM,,QUICK,420,,,MAX.*9299,,,,
Tests Union Station/NW 6th & Hoyt St MAX Station (7763) arrival from Pioneer Courthouse Square,"45.518875,-122.679290","45.527333,-122.676889","TRAM,RAIL,SUBWAY,FUNICULAR,GONDOLA,WALK",9:11 AM,,QUICK,840,,,MAX.*7763,,,,
Tests Interstate/Rose Quarter MAX Station (11508) arrival from Pioneer Courthouse Square,"45.518875,-122.679290","45.530641,-122.668290","TRAM,RAIL,SUBWAY,FUNICULAR,GONDOLA,WALK",9:11 AM,,QUICK,840,,,MAX.*11508,,,,
Tests Albina/Mississippi MAX Station (11509) arrival from Pioneer Courthouse Square,"45.518875,-122.679290","45.540026,-122.675818","TRAM,RAIL,SUBWAY,FUNICULAR,GONDOLA,WALK",9:11 AM,,QUICK,840,,,MAX.*11509,,,,
Tests Overlook Park MAX Station (11510) arrival from Pioneer Courthouse Square,"45.518875,-122.679290","45.547810,-122.681381","TRAM,RAIL,SUBWAY,FUNICULAR,GONDOLA,WALK",9:11 AM,,QUICK,840,,,MAX.*11510,,,,
