Description/notes,From,To,Mode,Time,Service,Optimize,Max dist,Arrive by,Depart by,Expected output,Expected number of legs,Expected trip duration,Expected trip distance,Passes?
"Test: rhine st station to lake road guy's place(meshugana directions!)","SE_17th_Ave_@_Rhine_St_MAX_Station::45.497597,-122.648224","2725_SE_LAKE_RD,_MILWAUKIE::45.43889,-122.63407","TRANSIT,WALK",2:00 PM,Future,QUICK,1609
"Test: from se 28th and holgate to holgate station","SE_28th_Ave_@_SE_Holgate_Blvd::45.490303,-122.637610","SE_17th_Ave_@_Holgate_Blvd_MAX_Station::45.490532,-122.648480","WALK",12:01 PM,Weekday,QUICK,840
"Test: holgate station to bybee station","SE_17th_Ave_@_Holgate_Blvd_MAX_Station::45.490532,-122.648480","SE_Bybee_Blvd_MAX_Station::45.474438,-122.639980","TRANSIT,WALK",,Future,QUICK,840
"Test: se 20th and bybee to bybee station","SE_20th_Ave_@_SE_Bybee_Blvd::45.473965,-122.644760","SE_Bybee_Blvd_MAX_Station::45.474438,-122.639980","WALK",2:00 PM,Future,QUICK,1680
"Test: stop bybee station to tacom/johnson creek station","SE_Bybee_Blvd_MAX_Station::45.474438,-122.639980","SE_Tacoma/Johnson_Creek_MAX_Station::45.462630,-122.637420","TRAM,RAIL,SUBWAY,FUNICULAR,GONDOLA,WALK",2:00 PM,Future,QUICK,840
"Test: reed college to se park ave and mcloughlin","6100_SE_REED_COLLEGE_PL::45.478184,-122.628940","SE_Park_Ave_@_SE_McLoughlin_Blvd::45.430200,-122.634660","TRANSIT,WALK",4:19 PM,Future,QUICK,840
"Test: reed to tacoma station","6100_SE_REED_COLLEGE_PL::45.478184,-122.628940","SE_Tacoma/Johnson_Creek_MAX_Station::45.462630,-122.637420","TRANSIT,WALK",11:00 AM,Future,QUICK,840,,,MAX.*13717
"Test: OHSU life sciences building to OMSI","Oregon_Museum_of_Science_and_Industry::45.508327,-122.665010","OHSU_Collaborative_Life_Sciences_Building::45.503162,-122.671814","TRAM,RAIL,SUBWAY,FUNICULAR,GONDOLA,WALK",11:00 AM,Future,QUICK,840,,,MAX.*13727
"Test: milwaukie station to lincoln st station","Milwaukie/Main_St_MAX_Station::45.441036,-122.640070","Lincoln_St/SW_3rd_Ave_MAX_Station::45.507893,-122.680150","TRANSIT,WALK",9:17 AM,Future,QUICK,840,,,MAX.*13729
"Test: milwaukie station to tacom/johnson creek station","Milwaukie/Main_St_MAX_Station::45.441036,-122.640070","SE_Tacoma/Johnson_Creek_MAX_Station::45.462948,-122.637794","TRANSIT,WALK",10:00 AM,Future,QUICK,840,,,MAX.*13722
"Test: tacoma/johnson creek to bybee max station bus stop","SE_Tacoma/Johnson_Creek_MAX_Station::45.462948,-122.637794","SE_Bybee_@_Bybee_Blvd_MAX_Station::45.474205,-122.639824","TRANSIT,WALK",9:43 AM,Future,QUICK,840,,,MAX.*13723



